SDSS ID,Name,RA [deg],DEC [deg],u [mag],g [mag],r [mag],i [mag],z [mag],(b/a)_r,Redshift,Confidence
1237648703505629237,WISEA J123434.47-004720.8,188.643609300162,-0.78914039838552,19.96593,17.79795,16.74779,16.31461,15.9543,0.2617173,0.1118357,0.64334
1237658204493709628,WISEA J084738.32+352802.2,131.909762328198,35.4673112526051,19.45144,17.86052,17.19345,16.78997,16.55933,0.237149,0.05284521,0.643029
1237655130384236942,WISEA J172357.96+283935.8,260.991976507124,28.6589486087383,19.38447,17.68483,16.7662,16.29574,15.94467,0.3448263,0.1037847,0.643029
1237661387069390944,WISEA J143310.47+524029.1,218.293548550867,52.6747729653244,19.25666,18.0835,17.72602,17.52276,17.40993,0.2471314,0.04485324,0.643005
1237661813882159224,WISEA J114852.39+132240.7,177.218252467294,13.3780471079691,18.05845,16.36842,15.53787,15.14826,14.84446,0.5367356,0.03413774,0.642954
1237651539780370593,WISEA J101320.84+645752.4,153.336852640725,64.9645030265092,18.89178,17.80573,17.54552,17.35017,17.12927,0.3333613,0.02385021,0.642872
1237667734518431944,WISEA J135323.75+201228.9,208.349047881735,20.2082072945762,19.3856,17.7353,16.88785,16.48759,16.10994,0.314225,0.0711301,0.642791
1237661387082891638,WISEA J164342.51+322904.4,250.927146219149,32.4845621744679,19.50632,17.8025,16.83731,16.41894,16.0843,0.3932355,0.09798023,0.642741
1237661356460867749,WISEA J101612.68+422344.6,154.052858326007,42.3958393793772,19.23184,17.58722,16.66925,16.19309,15.83681,0.3347389,0.09323986,0.642599
1237655108903436658,WISEA J092037.45+513458.4,140.156460955102,51.5830672561941,20.14009,19.53454,19.26882,19.20178,19.39605,0.2274956,,0.642576
1237665097926181001,WISEA J092552.72+264722.6,141.469880068852,26.7894104080026,19.69909,17.71702,16.6869,16.18133,15.80172,0.3902928,0.08761887,0.642569
1237667441899339923,IC 3641,190.111992183835,26.5215847085214,20.52871,17.687,17.01929,16.73031,16.78502,0.2183735,0.02637358,0.642553
